city_code,metric_key,value,as_of,geography,source_name,source_url
CN-BJ,population_density,1333.6,2021,"Beijing Municipality administrative area; derived from official resident population and land area","Beijing Municipal Bureau of Statistics — 2021 Statistical Communiqué",https://www.beijing.gov.cn/gongkai/shuju/tjgb/202203/t20220301_2618806.html
CN-SH,population_density,3922.0,2020,"Shanghai Municipality administrative area","Shanghai Municipal Statistics Bureau — Statistical Yearbook",https://tjj.sh.gov.cn/tjnj/tjnj2020.htm
CN-GZ,population_density,2512.4,2020,"Guangzhou prefecture-level administrative area; derived from census population and 7,434.4 km² area","Guangzhou Municipal Statistics Bureau — 2020 Census",https://tjj.gz.gov.cn/stats_newtjyw/tjsj/tjgb/qtgb/content/post_8540228.html
CN-SZ,population_density,8791.1,2020,"Shenzhen prefecture-level administrative area; derived from census population and official land area","Shenzhen Government / 2021 Statistical Yearbook",https://tjj.sz.gov.cn/attachment/1/1382/1382774/9491388.pdf
CA-TOR,population_density,4427.8,2021,"Toronto, City (C), census subdivision","Statistics Canada — 2021 Census of Population",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/page.cfm?DGUIDlist=2021A00053520005&GENDERlist=1&HEADERlist=0&Lang=E&STATISTIClist=1&SearchText=toronto
CA-VAN,population_density,5749.9,2021,"Vancouver, City (CY), census subdivision","Statistics Canada — 2021 Census of Population",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/page.cfm?DGUIDlist=2021A00055915022&GENDERlist=1&HEADERlist=0&Lang=E&STATISTIClist=1&SearchText=Vancouver
CA-MTL,population_density,4833.5,2021,"Montréal, Ville (V), census subdivision","Statistics Canada — 2021 Census of Population",https://www12.statcan.gc.ca/census-recensement/2021/dp-pd/prof/details/page.cfm?DGUIDlist=2021A00052466023&GENDERlist=1&HEADERlist=0&Lang=E&STATISTIClist=1&SearchText=montreal
US-NYC,population_density,11314.0,2020,"New York city proper; converted from 29,303.2 people/mi²","U.S. Census Bureau QuickFacts — 2020 Census",https://www.census.gov/quickfacts/fact/table/newyorkcitynewyork/POP060220
US-SFO,population_density,7192.7,2020,"San Francisco city proper; converted from 18,629.1 people/mi²","U.S. Census Bureau QuickFacts — 2020 Census",https://www.census.gov/quickfacts/fact/table/sanfranciscocitycalifornia/POP060220
US-CHI,population_density,4656.3,2020,"Chicago city proper; converted from 12,059.8 people/mi²","U.S. Census Bureau QuickFacts — 2020 Census",https://www.census.gov/quickfacts/fact/table/chicagocityillinois/POP060220
GB-LON,population_density,5598.0,2021,"London region","UK Office for National Statistics — Census 2021",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/bulletins/populationandhouseholdestimatesenglandandwales/census2021
FR-PAR,population_density,19959.9,2023,"Commune de Paris (75056)","INSEE — Recensement de la population 2023",https://www.insee.fr/fr/statistiques/1405599?geo=COM-75056
JP-TYO,population_density,6402.6,2020,"Tokyo Metropolis","Statistics Bureau of Japan — 2020 Population Census",https://www.stat.go.jp/english/data/handbook/pdf/2022all.pdf
SG-SIN,population_density,7485.0,2021,"Republic of Singapore total land area","Singapore Department of Statistics — Population in Brief 2021",https://www.singstat.gov.sg/-/media/files/publications/population/population2021.pdf
AU-SYD,population_density,425.4,2021,"Greater Sydney, Greater Capital City Statistical Area; derived from official ERP and classified area totals","Australian Bureau of Statistics — Regional population 2021",https://www.abs.gov.au/statistics/people/population/regional-population/2021
